fast_ema_period,slow_ema_period,stop_loss_pct,take_profit_pct,strategy_type,phase,total_orders,total_positions,pnl_total,pnl_pct,win_rate,expectancy,max_winner,avg_winner,avg_loser,max_loser,profit_factor,sharpe,sortino,volatility
15,30,0.01,0.06,ema,IS,1076,269,47.5281,0.4753,0.2639,0.176684,50.7376,10.0528,-3.3647,-24.6371,1.1449,1.2421,2.4688,0.4159
15,30,0.02,0.02,ema,IS,1076,269,47.5281,0.4753,0.2639,0.176684,50.7376,10.0528,-3.3647,-24.6371,1.1449,1.2421,2.4688,0.4159
15,30,0.02,0.04,ema,IS,1076,269,47.5281,0.4753,0.2639,0.176684,50.7376,10.0528,-3.3647,-24.6371,1.1449,1.2421,2.4688,0.4159
15,30,0.02,0.06,ema,IS,1076,269,47.5281,0.4753,0.2639,0.176684,50.7376,10.0528,-3.3647,-24.6371,1.1449,1.2421,2.4688,0.4159
15,30,0.03,0.02,ema,IS,1076,269,47.5281,0.4753,0.2639,0.176684,50.7376,10.0528,-3.3647,-24.6371,1.1449,1.2421,2.4688,0.4159
15,30,0.03,0.04,ema,IS,1076,269,47.5281,0.4753,0.2639,0.176684,50.7376,10.0528,-3.3647,-24.6371,1.1449,1.2421,2.4688,0.4159
15,30,0.03,0.06,ema,IS,1076,269,47.5281,0.4753,0.2639,0.176684,50.7376,10.0528,-3.3647,-24.6371,1.1449,1.2421,2.4688,0.4159
15,40,0.01,0.02,ema,IS,920,230,-39.8054,-0.3981,0.2435,-0.173067,102.6833,11.1873,-3.8293,-24.3284,1.0267,0.1844,0.3632,0.5338
15,40,0.01,0.04,ema,IS,920,230,-39.8054,-0.3981,0.2435,-0.173067,102.6833,11.1873,-3.8293,-24.3284,1.0267,0.1844,0.3632,0.5338
15,40,0.01,0.06,ema,IS,920,230,-39.8054,-0.3981,0.2435,-0.173067,102.6833,11.1873,-3.8293,-24.3284,1.0267,0.1844,0.3632,0.5338
15,40,0.02,0.02,ema,IS,920,230,-39.8054,-0.3981,0.2435,-0.173067,102.6833,11.1873,-3.8293,-24.3284,1.0267,0.1844,0.3632,0.5338
15,40,0.02,0.04,ema,IS,920,230,-39.8054,-0.3981,0.2435,-0.173067,102.6833,11.1873,-3.8293,-24.3284,1.0267,0.1844,0.3632,0.5338
15,40,0.02,0.06,ema,IS,920,230,-39.8054,-0.3981,0.2435,-0.173067,102.6833,11.1873,-3.8293,-24.3284,1.0267,0.1844,0.3632,0.5338
15,40,0.03,0.02,ema,IS,920,230,-39.8054,-0.3981,0.2435,-0.173067,102.6833,11.1873,-3.8293,-24.3284,1.0267,0.1844,0.3632,0.5338
15,40,0.03,0.04,ema,IS,920,230,-39.8054,-0.3981,0.2435,-0.173067,102.6833,11.1873,-3.8293,-24.3284,1.0267,0.1844,0.3632,0.5338
15,50,0.01,0.02,ema,IS,824,206,-25.7776,-0.2578,0.233,-0.125134,97.8862,12.2332,-3.8796,-22.8019,1.0349,0.2179,0.4195,0.5486
15,40,0.03,0.06,ema,IS,920,230,-39.8054,-0.3981,0.2435,-0.173067,102.6833,11.1873,-3.8293,-24.3284,1.0267,0.1844,0.3632,0.5338
